city,lat,lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,date
Narsaq,60.9167,-46.05,9.0,29,75,13.38,GL,1619037898
Kruisfontein,-34.0033,24.7314,16.67,94,99,0.45,ZA,1619037898
Cabo San Lucas,22.8909,-109.9124,28.89,28,40,4.63,MX,1619037898
Belmonte,-15.8631,-38.8828,26.0,78,75,3.09,BR,1619037899
Yar-Sale,66.8333,70.8333,0.58,90,100,5.03,RU,1619037899
Bonavista,48.6499,-53.1147,9.0,66,67,1.03,CA,1619037899
Caravelas,-17.7125,-39.2481,24.56,83,100,2.38,BR,1619037899
Zyryanka,65.75,150.85,-2.68,84,25,1.95,RU,1619037900
Kayerkan,69.3497,87.7602,-9.3,94,100,5.04,RU,1619037900
Yellowknife,62.456,-114.3525,-5.0,63,90,10.29,CA,1619037724
Ilebo,-4.3167,20.5833,21.48,97,99,1.0,CD,1619037900
Longyearbyen,78.2186,15.6401,-5.0,68,75,5.14,SJ,1619037900
Qaanaaq,77.484,-69.3632,-9.92,75,97,3.34,GL,1619037901
Bredasdorp,-34.5322,20.0403,17.0,88,98,3.09,ZA,1619037901
Khatanga,71.9667,102.5,-11.12,94,100,7.52,RU,1619037901
Taldan,53.6667,124.8,-0.02,90,80,2.13,RU,1619037902
Kapaa,22.0752,-159.319,26.11,83,20,2.57,US,1619037903
Atuona,-9.8,-139.0333,27.1,69,4,9.2,PF,1619037903
Grindavik,63.8424,-22.4338,6.0,87,90,4.63,IS,1619037903
Aksu,41.1231,80.2644,14.94,40,94,0.99,CN,1619037904
Coquimbo,-29.9533,-71.3436,18.0,77,0,6.69,CL,1619037904
Tiarei,-17.5333,-149.3333,30.0,62,40,5.14,PF,1619037904
Port Alfred,-33.5906,26.891,21.45,81,69,5.47,ZA,1619037904
Belaya Gora,68.5333,146.4167,-7.89,92,100,7.4,RU,1619037905
Clyde River,70.4692,-68.5914,-11.0,92,75,10.8,CA,1619037905
Formosa,-26.1775,-58.1781,30.0,51,0,6.17,AR,1619037906
Pacific Grove,36.6177,-121.9166,12.22,82,90,4.63,US,1619037906
Saint-Augustin,51.226,-58.6502,4.42,76,95,4.43,CA,1619037906
Chickasha,35.0526,-97.9364,14.0,30,1,2.06,US,1619037906
Saint Paul Harbor,57.79,-152.4072,5.0,87,90,7.72,US,1619037638
Guarapari,-20.6667,-40.4975,28.33,69,20,3.6,BR,1619037907
Bathsheba,13.2167,-59.5167,28.0,57,75,8.23,BB,1619037907
Pilar,-9.5972,-35.9567,27.0,78,40,4.63,BR,1619037748
