city,lat,lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,date
Epe,6.5841,3.9834,27.29,86,34,3.43,NG,1619037970
Ixtapa,20.7,-105.2,28.0,65,40,6.17,MX,1619037971
Camacha,33.0833,-16.3333,19.0,88,75,4.12,PT,1619037971
Disna,55.568,28.1971,6.04,84,28,3.33,BY,1619037971
Chateaubelair,13.2833,-61.25,28.0,65,20,7.72,VC,1619037971
Arrondissement de Tarbes,43.25,0.1667,14.0,62,0,1.54,FR,1619037972
Kutum,14.2,24.6667,27.09,8,57,5.55,SD,1619037972
Saint Anthony,45.0205,-93.218,6.11,41,90,3.6,US,1619037972
Banda Aceh,5.5577,95.3222,26.74,81,92,3.9,ID,1619037972
Athabasca,54.7169,-113.2854,20.0,19,98,3.09,CA,1619037973
Kazanskoye,55.6448,69.235,0.19,71,0,2.99,RU,1619037973
Beringovskiy,63.05,179.3167,-5.28,81,100,1.7,RU,1619037973
Lavrentiya,65.5833,-171.0,-0.94,62,95,0.82,RU,1619037973
Takanosu,40.2219,140.3694,5.51,80,0,0.83,JP,1619037974
Pukhrāyān,26.2333,79.85,24.28,46,73,2.61,IN,1619037974
Touros,-5.1989,-35.4608,29.0,70,20,6.69,BR,1619037974
Paulo Afonso,-9.4061,-38.2147,27.9,56,98,1.88,BR,1619037974
Caramay,10.1815,119.236,25.7,84,99,1.78,PH,1619037975
Menongue,-14.6585,17.691,16.75,60,9,2.56,AO,1619037975
Lithgow,-33.4833,150.15,7.22,85,0,1.86,AU,1619037975
Cockburn Town,21.4612,-71.1419,25.99,77,6,7.75,TC,1619037815
Mezen',65.8522,44.24,7.45,53,97,5.26,RU,1619037975
Ribeira Brava,32.65,-17.0667,17.78,89,86,0.89,PT,1619037976
Sioux Lookout,50.1001,-91.917,4.0,38,20,4.12,CA,1619037976
Murygino,58.7383,49.4582,2.21,96,100,5.83,RU,1619037977
Itarema,-2.9248,-39.9167,25.76,79,100,2.28,BR,1619037977
Turan,16.0678,108.2208,25.0,94,40,1.54,VN,1619037977
Ritchie,-29.038,24.6028,17.0,48,99,3.6,ZA,1619037977
Port Lincoln,-34.7333,135.8667,15.64,67,94,6.7,AU,1619037978
Deputatsky,69.3,139.9,-14.81,92,100,2.22,RU,1619037978
Nandigāma,16.7833,80.3,28.89,69,83,3.68,IN,1619037978
Fairbanks,64.8378,-147.7164,6.11,41,1,1.25,US,1619037978
Muroto-misakicho,33.2833,134.15,17.05,60,28,3.71,JP,1619037979
Tatvan,38.5067,42.2817,13.23,73,77,3.36,TR,1619037979
Tornio,65.8481,24.1466,0.0,80,0,0.51,FI,1619037979
Igarka,67.4667,86.5833,-13.29,95,96,3.88,RU,1619037979
Soe,-9.8607,124.284,16.79,93,20,1.75,ID,1619037980
Yerbogachën,61.2767,108.0108,-15.14,97,40,0.7,RU,1619037980
Lompoc,34.6391,-120.4579,13.0,71,27,4.12,US,1619037709
Mackay,-21.15,149.2,22.0,94,91,2.06,AU,1619037980
Mawlamyine,16.4914,97.6256,27.42,77,44,1.52,MM,1619037981
Gaoua,10.2992,-3.2508,29.65,49,69,3.36,BF,1619037981
Te Anau,-45.4167,167.7167,9.84,92,91,0.83,NZ,1619037981
Shimoda,34.6667,138.95,11.67,77,6,1.34,JP,1619037982
Eureka,40.8021,-124.1637,16.11,76,5,1.79,US,1619037982
Filingué,14.3521,3.3168,34.68,9,34,4.27,NE,1619037982
Chaykovskaya,58.1279,55.5378,4.0,45,0,3.0,RU,1619037982
Portland,45.5234,-122.6762,23.89,28,20,4.63,US,1619037785
Kefamenanu,-9.4467,124.4781,19.5,93,28,1.23,ID,1619037983
Limbang,4.75,115.0,25.0,94,75,1.03,MY,1619037983
Vestmannaeyjar,63.4427,-20.2734,6.84,78,100,4.82,IS,1619037983
Pozo Colorado,-23.4923,-58.7972,33.43,24,3,2.38,PY,1619037983
Mahrīz,31.5917,54.4318,25.0,15,0,3.09,IR,1619037984
Revda,56.801,59.9303,0.0,64,0,1.0,RU,1619037984
Constitución,-35.3333,-72.4167,14.07,95,99,5.91,CL,1619037984
Nome,64.5011,-165.4064,1.67,59,1,1.54,US,1619037984
Qasigiannguit,68.8193,-51.1922,-3.0,54,7,3.6,GL,1619037985
Antofagasta,-23.65,-70.4,18.0,72,20,6.69,CL,1619037732
Gamba,-2.65,10.0,26.34,87,97,1.83,GA,1619037985
Udachny,66.4167,112.4,-17.34,96,100,1.9,RU,1619037985
Le Port,-20.9373,55.2919,26.0,73,0,6.69,RE,1619037985
La Ronge,55.1001,-105.2842,16.0,16,7,3.6,CA,1619037986
Samarai,-10.6167,150.6667,27.64,78,86,2.07,PG,1619037986
Hūn,29.1268,15.9477,21.54,18,42,6.73,LY,1619037986
Srednekolymsk,67.45,153.6833,0.58,75,0,3.94,RU,1619037986
Departamento de Maldonado,-34.6667,-54.9167,23.0,68,40,4.12,UY,1619037987
Rawson,-43.3002,-65.1023,17.9,81,100,3.52,AR,1619037863
Zhigansk,66.7697,123.3711,-20.24,100,100,1.89,RU,1619037987
Banff,51.1762,-115.5698,16.0,23,42,4.12,CA,1619037987
Kamaishi,39.2667,141.8833,8.27,58,0,4.24,JP,1619037987
San Nicolas,18.1725,120.5953,25.4,84,100,5.48,PH,1619037909
Winnemucca,40.973,-117.7357,19.0,10,1,4.63,US,1619037988
Sabha,27.0377,14.4283,25.45,16,100,6.82,LY,1619037988
Kargalinskaya,43.7417,46.4792,12.59,72,100,2.73,RU,1619037988
Paranaíba,-19.6772,-51.1908,25.54,34,0,2.41,BR,1619037988
Capitão Poço,-1.7464,-47.0594,23.7,95,98,1.28,BR,1619037989
Haines Junction,60.7522,-137.5108,6.0,24,38,2.06,CA,1619037989
Serebryansk,49.6925,83.2892,-3.0,68,75,1.0,KZ,1619037989
Bartlesville,36.7473,-95.9808,15.0,31,1,2.06,US,1619037989
Benjamin Constant,-4.3831,-70.0311,28.0,83,40,3.09,BR,1619037990
Xiangxiang,27.7333,112.5333,17.84,96,100,1.29,CN,1619037990
Chāndpur,29.15,78.2667,21.36,54,100,4.84,IN,1619037990
Madīnat Sittah Uktūbar,29.8167,31.05,17.22,72,0,9.26,EG,1619037990
Flinders,-34.5833,150.8552,10.56,78,1,0.45,AU,1619037991
Pedasí,7.5333,-80.0333,28.25,70,79,3.38,PA,1619037991
Oranjemund,-28.55,16.4333,15.35,92,33,1.16,NA,1619037991
Santa Vitória do Palmar,-33.5189,-53.3681,19.64,71,4,6.68,BR,1619037991
Aykhal,66.0,111.5,-15.39,96,100,2.64,RU,1619037992
Northam,51.0333,-4.2167,10.0,76,12,1.34,GB,1619037992
Castaños,26.7833,-101.4167,20.0,68,40,2.57,MX,1619037992
Batagay-Alyta,67.8006,130.4114,-18.02,94,100,2.33,RU,1619037993
Bǝrdǝ,40.3744,47.1267,16.85,68,94,3.56,AZ,1619037876
Gilgit,35.9221,74.3087,11.59,65,97,0.66,PK,1619037993
Sakakah,29.9697,40.2064,31.0,12,0,5.14,SA,1619037746
Dukat,62.55,155.55,-4.92,92,100,3.0,RU,1619037993
Yunhe,34.0833,119.7167,14.81,94,100,3.98,CN,1619037994
Buraidah,26.326,43.975,26.0,22,0,1.03,SA,1619037985
Verkhnevilyuysk,63.4453,120.3167,-17.12,98,95,1.16,RU,1619037994
Ust'-Barguzin,53.45,108.9833,-8.72,89,81,1.01,RU,1619037994
Cartersville,34.1651,-84.7999,13.33,32,1,3.6,US,1619037995
Assiut,27.181,31.1837,26.0,34,0,7.72,EG,1619037995
Lorengau,-2.0226,147.2712,27.85,80,100,2.9,PG,1619037995
Nkhata Bay,-11.6066,34.2907,21.36,88,53,3.05,MW,1619037995
Daru,-9.0763,143.2092,24.49,84,93,2.28,PG,1619037996
Kropotkin,45.4375,40.5756,9.82,88,57,2.05,RU,1619037996
Selma,36.5708,-119.6121,22.78,40,40,1.54,US,1619037996
Carmelo,-33.9892,-58.2856,24.0,69,0,5.14,UY,1619037997
Tsabong,-26.0217,22.401,20.23,29,100,3.99,BW,1619037997
Vallejo,38.1041,-122.2566,21.67,63,1,8.23,US,1619037997
Kysyl-Syr,63.8986,122.7617,-17.51,98,98,1.36,RU,1619037997
Uvalde,29.3669,-99.767,21.11,30,90,2.06,US,1619037998
Saint-Pierre,-21.3393,55.4781,25.0,83,0,5.66,RE,1619037998
Celestún,20.8667,-90.4,28.42,68,25,7.11,MX,1619037998
Sinop Province,41.7711,34.8709,8.21,81,100,1.84,TR,1619037998
Bilibino,68.0546,166.4372,-6.63,73,4,1.31,RU,1619037999
Patea,-39.7583,174.4833,14.44,96,39,1.39,NZ,1619037999
Xifeng,42.7372,124.7222,12.47,33,100,1.47,CN,1619037999
Port Blair,11.6667,92.75,27.16,76,45,2.78,IN,1619037919
Mīrābād,30.4362,61.8383,25.41,25,0,4.71,AF,1619037999
Lagoa,39.05,-27.9833,17.3,92,92,8.97,PT,1619038000
Basi,26.8333,76.0333,24.0,41,40,2.57,IN,1619037985
Maragogi,-9.0122,-35.2225,26.05,79,79,3.56,BR,1619038000
Hay River,60.8156,-115.7999,-4.0,80,90,8.75,CA,1619037906
Kjøllefjord,70.9457,27.3465,3.0,81,75,7.2,NO,1619038000
Atambua,-9.1061,124.8925,21.26,88,50,1.68,ID,1619038001
Orodara,10.9492,-4.9342,32.0,58,20,2.06,BF,1619038001
Sakata,38.9167,139.855,9.44,80,9,4.21,JP,1619038001
Panjakent,39.4952,67.6093,9.0,76,5,6.17,TJ,1619038001
Kumul,42.8,93.45,17.93,27,99,3.51,CN,1619038002
Saint-Leu,-21.15,55.2833,25.0,83,0,5.66,RE,1619038002
Kashgar,39.4547,75.9797,15.0,7,75,10.0,CN,1619038002
Laureles,26.1092,-97.4941,20.56,72,90,9.26,US,1619038002
Tirumullaivāsal,11.2333,79.8333,27.59,83,11,3.38,IN,1619038003
Severnoye,56.3491,78.3619,-5.52,89,9,3.69,RU,1619038003
Yenotayevka,47.2456,47.0281,10.0,79,37,4.69,RU,1619038003
Zelenikovo,41.8867,21.5869,7.0,76,0,0.51,MK,1619038003
Morden,49.1919,-98.1014,15.0,18,71,6.43,CA,1619038004
Sirte,31.2089,16.5887,18.58,62,0,8.45,LY,1619038004
Mago,53.2514,140.1822,-1.19,80,96,1.63,RU,1619038004
Umeå,63.8284,20.2597,3.0,75,0,2.57,SE,1619038004
Bowen,-20.0167,148.2333,22.0,94,96,1.54,AU,1619038005
College,64.8569,-147.8028,6.11,38,1,1.24,US,1619037861
Saquena,-4.6667,-73.5167,25.91,86,94,1.12,PE,1619038005
Arrondissement de Cognac,45.5,-0.25,15.0,55,0,2.57,FR,1619038005
Dengzhou,37.8086,120.7508,11.07,60,100,4.83,CN,1619038005
Berlevåg,70.8578,29.0864,4.0,81,75,7.72,NO,1619038006
Şile,41.1754,29.6133,13.33,71,40,2.06,TR,1619038006
Zinder,13.8072,8.9881,31.18,6,43,4.0,NE,1619037901
Arvin,35.2091,-118.8284,21.11,55,0,3.13,US,1619038006
Seredka,58.1584,28.1858,5.0,100,0,2.0,RU,1619038006
Tymovskoye,50.8456,142.655,-1.04,93,86,0.3,RU,1619038007
Malakal,9.5334,31.6605,31.1,44,99,2.93,SS,1619038007
Mashhad,36.297,59.6062,17.0,51,0,4.12,IR,1619037860
Havre-St-Pierre,50.2334,-63.5986,7.0,53,1,6.17,CA,1619037847
Varhaug,58.6147,5.6457,4.44,84,18,2.24,NO,1619038007
Nuevo Progreso,23.1667,-97.95,27.22,71,55,4.92,MX,1619038008
Ozernovskiy,51.5,156.5167,2.17,87,58,1.73,RU,1619038008
Magnitogorsk,53.4186,59.0472,3.0,44,96,3.0,RU,1619038008
Amapá,1.0,-52.0,24.19,96,82,1.31,BR,1619038008
Sorong,-0.8833,131.25,26.08,85,95,1.04,ID,1619038009
Vardø,70.3705,31.1107,4.0,75,0,3.09,NO,1619038009
Mount Isa,-20.7333,139.5,22.0,18,70,6.17,AU,1619038009
Gagnoa,6.1293,-5.9437,25.35,84,22,1.98,CI,1619038009
Ntcheu,-14.8203,34.6359,15.74,92,100,2.34,MW,1619038010
Kahului,20.8947,-156.47,28.0,65,40,2.06,US,1619037740
Findlay,41.0442,-83.6499,6.0,49,75,6.17,US,1619038010
Soritor,-6.1392,-77.1039,24.36,87,66,1.41,PE,1619038010
Yangi Marg`ilon,40.4272,71.7189,10.0,62,75,3.09,UZ,1619038010
Bari,41.1177,16.8512,12.78,66,0,2.06,IT,1619037905
Huangyan,28.6478,121.2594,15.56,95,9,1.34,CN,1619038011
Padang,-0.9492,100.3543,24.43,88,98,1.51,ID,1619038011
Mwene-Ditu,-7.0,23.45,19.59,95,100,0.64,CD,1619038011
Saint-François,46.4154,3.9054,9.0,76,0,1.54,FR,1619038011
Umm Kaddadah,13.6017,26.6876,29.84,9,5,6.14,SD,1619038012
Ilovlya,49.3033,43.9796,8.0,87,0,3.0,RU,1619038012
Duku,11.2361,4.9073,27.04,58,100,4.64,NG,1619038012
Beyneu,45.3167,55.2,10.5,37,97,9.15,KZ,1619038013
Sokoni,-6.4333,39.55,27.0,83,40,7.2,TZ,1619038013
Bolitoc,15.7395,119.8769,27.04,82,100,4.41,PH,1619038013
Riyadh,24.6877,46.7219,31.0,18,0,2.06,SA,1619037945
Alamosa,37.4695,-105.87,14.0,18,20,9.91,US,1619038013
Sistranda,63.7256,8.834,2.0,87,75,5.66,NO,1619038014
Piribebuy,-25.4833,-57.05,30.0,48,0,4.12,PY,1619038014
Exeter,50.7236,-3.5275,8.89,87,80,4.28,GB,1619037944
Samaná,19.2056,-69.3369,31.0,66,40,5.14,DO,1619038014
Puerto del Rosario,28.5004,-13.8627,20.0,68,20,7.72,ES,1619038014
Roald,62.5833,6.1333,2.0,80,75,1.54,NO,1619038015
Sobolevo,54.4299,31.8996,4.16,88,19,3.59,RU,1619038015
Serenje,-13.2325,30.2352,13.79,95,69,2.56,ZM,1619038015
Price,39.5994,-110.8107,12.0,19,1,4.12,US,1619038015
Polunochnoye,60.8697,60.4153,3.72,78,53,2.05,RU,1619038016
Lázaro Cárdenas,17.9583,-102.2,29.82,37,0,5.01,MX,1619038016
